id	name	description
0	empty	The "nothing" attribute. New objects automatically have their attributes filled with this.
1	Damage	Does damage in the amount specified by the parameter. MR is not taken into account.
2	AC	Modifies the AC value specified by the parameter, this AC is NOT affected by the targets weight. Used in barkskin and stoneskin.
3	Rcol	Modifies resistance to cold by the value specified by the parameter.
4	Max Damage	Modifies max damage to the value specified by the parameter.
5	Rfir	Modifies resistance to fire by the value specified by the parameter.
6	Enslave	Charms the target.
7	DR	Modifies the DR value specified by the parameter. Note that DR is expressed in multiples of 10.
8	Drain	Drains HP from the target to the caster. (usually seen in spells)
9	Shadow	Displays "A shadowy figure!" when looked at by other players.
10	AC(Blur)	Modifies the AC value specified by the parameter, this AC IS affected by the targets encumberance. Used in blur, and the spell for the amethyst pendant.
11	EnergyLevel	Modifies the Energy level specified by the parameter.
12	Summon	Summons a monster specified by the parameter. The value in parameter is the monster number.
13	Illu	Increases or decreases the light value for the target ONLY by the value specified in the parameter.
14	RoomIllu	Increases or decreases the light value for the entire room by the value specified in the parameter.
15	Alterhunger	Unknown
16	Alter thirst	Unknown
17	Damage(-MR)	Does damage which takes into account the targets MR (or so the name implies).
18	Heal	Heals damage specified by the value in the parameter.
19	Poison	Poisons the target doing damage specified by the value in the parameter.
20	Cure Poison	Cures poison (cure poison has a parameter of 8, as does antidote).
21	ImmuPoison	Used in duration spells to make the target immune to poison.
22	Accuracy	Increases the targets accuracy by the value specified in the parameter. (bless increases this value by 3, divine favour increases it by 10)
23	AffectsUndead	Used to make a spell ONLY work on undead monsters.
24	ProtEvil	Protection from evil.
25	ProtGood	Protection from good.
26	DetectMagic	Detects the magic in an item.
27	Stealth	Modifies stealth by the value in the parameter.
28	Magical	Defines the magical potency of an item. Witchunters cannot use items with this flag. To make a non-magical item hit highly magical creatures, use the HitMagic flag.
29	Punch	Used in the Mystic class definition to grant the Punch ability. A parameter of +1 is used in their definition.
30	Kick	Used in the Mystic class definition to grant the Kick ability. A parameter of +1 is used in their definition.
31	Bash	Used in almost all class definition to grant the ability to bash attack monsters.
32	Smash	Unknown
33	Killblow	Unknown
34	Dodge	Increases or decreases the targets ability to Dodge by the % value specified in the parameter.
35	JumpKick	Used in the Mystic class definition to grant the JumpKick ability. A parameter of +1 is used in their definition.
36	M.R.	Increases or decreases the targets MR by the value specified in the parameter.
37	Picklocks	In Race and Class definitions, this grants the ability to Picklock, in items, this can be used to enhance the ability.
38	Tracking	Used in Race and Class definitions to grant Tracking to a Race/Class.
39	Thievery	In Race and Class definitions, this grants the ability to Rob, in items, this can be used to enhance the ability.
40	FindTraps	In Race and Class definitions, this grants the ability to find traps, in items, this can be used to enhance the ability.
41	DisarmTraps	In Race and Class definitions, this grants the ability to disarm traps, in items, this can be used to enhance the ability.
42	LearnSp	Places the spell specified in the parameter into the players spells list. Also used for Kai powers and Bard songs. Use this in a
scroll item. The parameter is the spell number.
43	CastsSp	Casts the spell when an item is 'used', or, with the %Spell attribute, this is the spell that is cast when the % chance is met.
44	Intel	Increases or decreases the Intel stat by the value specified in the parameter.
45	Wisdom	Increases or decreases the Wisdom/Willpower stat by the value specified in the parameter.
46	Strength	Increases or decreases the Strength stat by the value specified in the parameter.
47	Health	Increases or decreases the Health stat by the value specified in the parameter.
48	Agility	Increases or decreases the Agility stat by the value specified in the parameter.
49	Charm	Increases or decreases the Charm stat by the value specified in the parameter.
50	MageBaneQuest	This Determines if the player has completed the MageBane quest.
51	AntiMagic	Used in the Witchunter class definition, apperently the only effect being that MR effects beneficial as well as combat spells cast on the target.
52	EvilInCombat	Used in spells to generate evil warnings and give EP when used.
53	BlindingLight	Unknown
54	IlluTarget	Increases or decreases the light level for the target specified by the value in the parameter.
55	AlterGeneralLightDuration	Unknown
56	RechargeItem	Unknown
57	SeeHidden	Grants the ability to see hidden players. For monsters, this allows them to see hidden players and attack them while they are sneaking or hiding. The monster will also follow even if the player escapes and re-sneaks.
58	Crits	Increases or decreases the targets critical hit chance by the value specified in the parameter.
59	ClassOk	Used in items to make the item equippable by classes they aren't intended to be used with.
60	Fear	Makes the target flee in fear. Used in duration spells.
61	AffectExit	Unknown
62	EvilChance	Unknown
63	Experience	Unknown (although one would assume this can be used to add/remove experience)
64	AddCP	Unknown (although one would assume this can be used to add/remove CP)
65	ResistStone	Modifies resistance to stone by the value specified by the parameter.
66	Rlit	Modifies resistance to lightning by the value specified by the parameter.
67	Quickness	does in fact make you walk faster (but only to a point so that it only matters if you're heavy.)
68	Slowness	Modifies the room movement time while not affecting stealth as a modified encumbrance would. The Mage spell "Slow" uses a parameter of +200 for this attribute.
69	MaxMana	Increases or decreases the targets maximum mana by the value specified in the parameter.
