   10.459 --- heal purse ---
   10.459     | /xcash 2000 copper
   10.459     | [xcash] copper: 0 -> 2000; type 'i' to confirm.
  138.788 P0: no rat found this sweep; continuing
  267.097 P0: no rat found this sweep; continuing
  395.482 P0: no rat found this sweep; continuing
  523.778 P0: no rat found this sweep; continuing
  652.076 P0: no rat found this sweep; continuing
  780.393 P0: no rat found this sweep; continuing
  908.697 P0: no rat found this sweep; continuing
 1037.007 P0: no rat found this sweep; continuing
 1165.297 P0: no rat found this sweep; continuing
 1293.600 P0: no rat found this sweep; continuing
 1421.903 P2: no rat found this sweep; continuing
 1550.219 P2: no rat found this sweep; continuing
 1678.514 P2: no rat found this sweep; continuing
 1806.820 P2: no rat found this sweep; continuing
 1935.130 P2: no rat found this sweep; continuing
 2063.435 P2: no rat found this sweep; continuing
 2191.736 P2: no rat found this sweep; continuing
 2320.033 P2: no rat found this sweep; continuing
 2448.333 P2: no rat found this sweep; continuing
 2576.631 P2: no rat found this sweep; continuing
 2704.919 P1: no rat found this sweep; continuing
 2833.222 P1: no rat found this sweep; continuing
 2961.529 P1: no rat found this sweep; continuing
 3089.842 P1: no rat found this sweep; continuing
 3218.150 P1: no rat found this sweep; continuing
 3346.454 P1: no rat found this sweep; continuing
 3474.764 P1: no rat found this sweep; continuing
 3603.069 P1: no rat found this sweep; continuing
